affil_name,status,valid_ids,affil_names_valid,invalid_ids,affil_names_invalid,eid,author,affil_city
"Mary Kay O'Connor Process Safety Center, Texas A&M Engineering Experiment Station",Not in HAL,,,,,2-s2.0-85178664213,Abdullah Alsulieman,College Station
"Artie McFerrin Department of Chemical Engineering, Texas A&M University",In HAL (Valid),301080,Texas A&M University [College Station],,,2-s2.0-85178664213,Abdullah Alsulieman,College Station
"Industrial and Systems Engineering Department, Texas A&M University",In HAL (Valid),301080,Texas A&M University [College Station],,,2-s2.0-85178664213,Faisal Khan,College Station
"Gas and Fuels Research Center, Texas A&M Engineering Experiment Station",Not in HAL,,,,,2-s2.0-85178664213,Mahmoud El-Halwagi,College Station
"Chair on Risk and Resilience of Complex Systems, Laboratoire Genie Industriel, Universite Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85178664213,Xihe Ge,
"Chair on Risk and Resilience of Complex Systems, Laboratoie Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85165538390,Anne Barros,Gif-sur-Yvette
"Department of Industrial Systems Engineering, Rutgers University",In HAL (Valid),566577,Rutgers University System [Rutgers],,,2-s2.0-85165538390,David Coit,Piscataway
"Networks/CASE/A4N, Orange Innovation",In HAL (Valid),1079675,Orange Innovation,,,2-s2.0-85159721070,Rui Li,Châtillon
"CentraleSupélec, Laboratoire Génie Industriel",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85159721070,Rui Li,Gif-sur-Yvette
Thales Research & Technology,In HAL (Valid),"19045, 250969",THALES [France] | Thales Research and Technology [Palaiseau],,,2-s2.0-85159205217,Andrea Bellè,Palaiseau
"Chair on Risk and Resilience of Complex Systems, Laboratoire Génie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85159205217,Andrea Bellè,Gif-sur-Yvette
"Laboratoire Génie Industriel, CentraleSupélec, université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85159205217,Adam F. Abdin,Gif-sur-Yvette
"Faculty of Science, Utrecht University",In HAL (Valid),300572,Universiteit Utrecht / Utrecht University [Utrecht],,,2-s2.0-85149406585,Mihaela Mitici,CS Utrecht
"Faculty of Aerospace Engineering, Delft University of Technology",In HAL (Valid),"62731, 333368",Faculty of Aerospace Engineering [Delft] | Delft University of Technology [TU Delft],,,2-s2.0-85149406585,Ingeborg de Pater,Delft
"Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85149406585,Anne Barros,Gif-sur-Yvette
"University of Electronic Science and Technology of China, School of Mechanical and Electrical Engineering",In HAL (Valid),373746,University of Electronic Science and Technology of China [Chengdu] [UESTC],,,2-s2.0-85135760993,Tangfan Xiahou,Chengdu
"University of Electronic Science and Technology of China, Center for System Reliability and Safety",In HAL (Valid),373746,University of Electronic Science and Technology of China [Chengdu] [UESTC],,,2-s2.0-85135760993,Yu Liu,Chengdu
"Industrial Engineering Laboratory (LGI) CentraleSupèlec, Paris-Saclay University",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85172788020,Abdelhamid Boujarif,Gif-sur-Yvette
"Department of Industrial and Systems Engineering, Rutgers University",In HAL (Valid),566577,Rutgers University System [Rutgers],,,2-s2.0-85172788020,David W. Coit,
General Electric Healthcare,In HAL (Valid),7191,General Electric Medical Systems [Buc] [GE Healthcare],,,2-s2.0-85172788020,Robert Heidsieck,
"University Paris Saclay, CentraleSupélec",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85151498277,Youba Nait Belaid,Paris
Electricité de France (EDF) R&d,In HAL (Valid),"302313, 528389",EDF [EDF] | EDF R&D [EDF R&D],,,2-s2.0-85151498277,Youba Nait Belaid,Paris
"School of Mechanical and Electrical Engineering, University of Electronic Science and Technology of China",In HAL (Valid),373746,University of Electronic Science and Technology of China [Chengdu] [UESTC],,,2-s2.0-85141134865,Tangfan Xiahou,Chengdu
"Center for System Reliability and Safety, University of Electronic Science and Technology of China",In HAL (Valid),373746,University of Electronic Science and Technology of China [Chengdu] [UESTC],,,2-s2.0-85141134865,Tangfan Xiahou,Chengdu
"University of Electronic Science and Technology of China, School of Mechanical and Electrical Engineering, Center for System Reliability and Safety",In HAL (Valid),373746,University of Electronic Science and Technology of China [Chengdu] [UESTC],,,2-s2.0-85144185585,Yu Liu,Chengdu
"School of Aeronautics and Astronautics, Sichuan University",In HAL (Valid),440644,Sichuan University [Chengdu] [SCU],,,2-s2.0-85137640598,Jianyu Wang,Chengdu
"Laboratoire Genie Industriel, CentraleSupélec, Université Paris Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85137640598,Jianyu Wang,Gif-sur-Yvette
"College of Electrical Engineering, Sichuan University",In HAL (Valid),440644,Sichuan University [Chengdu] [SCU],,,2-s2.0-85137640598,Heng Zhang,Chengdu
"Risk and Resilience of Complex Systems, Laboratoire Génie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85142261493,Andrea Bellè,
Electricité de France RandD,In HAL (Valid),"302313, 528389",EDF [EDF] | EDF R&D [EDF R&D],,,2-s2.0-85142234353,Youba Nait Belaid,Palaiseau
"Risk and Resilience of Complex Systems, Laboratoire Génie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85142234353,Anne Barros,Gif-sur-Yvette
"College of Electrical Engineering, Zhejiang University",In HAL (Valid),"493651, 8138",College of Electrical Engineering [Zhejiang] | Zhejiang University,,,2-s2.0-85103246865,Yi Ding,Hangzhou
"Sichuan University, College of Electrical Engineering",In HAL (Valid),440644,Sichuan University [Chengdu] [SCU],,,2-s2.0-85139388609,Jianyu Wang,Chengdu
"CentraleSupélec, Université Paris Saclay, Laboratoire Genie Industriel",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85139388609,Jianyu Wang,Gif-sur-Yvette
Orange Innovation,In HAL (Valid),1079675,Orange Innovation,,,2-s2.0-85129636032,Rui Li,Chatillon
