eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85165538390,10.1016/j.ress.2023.109515,S0951832023004295,,Dependent failure behavior modeling for risk and reliability: A systematic and critical literature review,re,Review,Zeng Z.,60119141;60106017,Rutgers University–New Brunswick;Université Paris-Saclay,New Brunswick;Gif-sur-Yvette,United States;France,3,"Zeng, Zhiguo;Barros, Anne;Coit, David",55348807500;7102745133;7006816402,60106017;60106017;60119141,2023-11-01,November 2023,Reliability Engineering and System Safety,09518320,13853,,Journal,239,,109515,,"This paper presents a systematic and critical literature review on dependent failure behavior modeling in risk and reliability. A literature search is conducted systematically based on pre-defined protocols. The resulting papers are first analyzed through a meta-data and bibliometric analysis, in which the trend of publication growth, important publication sources and authors, collaboration among the authors are identified. The evolution of research topics in three time periods (prior to mid-1990s, mid-1990s - 2010 and 2010 - present) is also discussed through a semantic clustering. Then, the most important papers from the literature search are chosen for a content analysis and critical review. The main results of the critical literature review include: First, we summarize the dependent failure behavior in different system hierarchies, i.e., failure mechanism level, component level, system level and systems-of-systems level. In each level, the main dependent failure behavior from literature is discussed with examples. Second, we develop a classification framework for the dependent failure behavior models. The most frequently-used models in each category are critically reviewed, based on which we identify five challenging problems the current dependency models face, give our perspectives on their possible solutions, and discuss future research opportunities.",Dependent failure behavior | Reliability | Risk,2,0,,,EDF,undefined,Orange
2-s2.0-85159721070,10.1109/TNSM.2023.3269673,,,Estimating 5G Network Service Resilience Against Short Timescale Traffic Variation,ar,Article,Li R.,60106066;130373353,Laboratoire Génie Industriel;Networks/CASE/A4N,Chatenay-Malabry;Chatillon,France;France,5,"Li, Rui;Decocq, Bertrand;Barros, Anne;Fang, Yi Ping;Zeng, Zhiguo",57670573100;6507823773;7102745133;55659850100;55348807500,130373353-60106066;130373353;60106066;60106066;60106066,2023-09-01,1 September 2023,IEEE Transactions on Network and Service Management,,7200153156,19324537,Journal,20,3,,2230-2243,"5G networks are designed to create a new ecosystem for vertical industries such as health care, energy, and public transport. These novel applications, on the other hand, bring new challenges to network resilience. Among them, traffic variation is one of the most vital threats to the 5G network. With tens of thousands of devices connected to the network, network service resilience is threatened by the heavy traffic change induced by the end users or malicious attacks. While long timescale traffic variation can be easily predicted based on historical data, short timescale abnormal traffic is hard to forecast yet can significantly violate the service requirements. The impact of short timescale traffic variation can be mitigated by 5G management and control systems. However, the complexity and dynamics of the virtualized 5G system make it hard to estimate its resilience. This paper provides a 5G network model that captures the data traffic changes and network dynamic management mechanism. The model is able to evaluate the performance of different network services with different requirements under traffic variation events. We analyze the effectiveness of auto-scaling and compare different isolation strategies for traffic congestion. The simulation results on service resilience estimation can become strong supporting information for 5G network deployment and configuration.",5G | auto-scaling | communication networks | discrete event simulation | Kubernetes | network resilience | network service | Petri Net | traffic variation | virtual networks,1,0,,,,undefined,
2-s2.0-85159205217,10.1016/j.ress.2023.109364,S0951832023002788,,A resilience-based framework for the optimal coupling of interdependent critical infrastructures,ar,Article,Bellè A.,60107882;60106017,Thales Research and Technology;Université Paris-Saclay,Palaiseau;Gif-sur-Yvette,France;France,5,"Bellè, Andrea;Abdin, Adam F.;Fang, Yi Ping;Zeng, Zhiguo;Barros, Anne",57286978200;57224782100;55659850100;55348807500;7102745133,60107882-60106017;60106017;60106017;60106017;60106017,2023-09-01,September 2023,Reliability Engineering and System Safety,09518320,13853,,Journal,237,,109364,,"As critical infrastructures (CIs) are essential for the safety and socio-economic stability of a society, ensuring their resilience is a task of the utmost importance. Critical infrastructures are often interdependent on each other, and the topology of the interdependencies between different systems, also referred to as coupling interface, plays a key role in terms of their resilience against failures. In case of failures due to natural events, random disturbances, or deliberate attacks, the design of the coupling interface is a key factor for maintaining high performance within the interdependent CIs. However, in the existing literature, the issue of the coupling interface design is often addressed through heuristics. In this work, we propose an optimization-based mathematical approach for designing coupling interfaces between interdependent critical infrastructures under random failures. The proposed approach allows designing a coupling interface that is robust against the worst realization of a set of feasible failure scenarios. Using as case study interdependent power and gas networks, we show that the proposed method outperforms existing solutions based on network metrics-based heuristics.",Coupling interface | Defender–attacker–defender | Interdependent critical infrastructures | Optimization | Resilience,0,1,repositoryam,Green,,undefined,
2-s2.0-85147705423,10.1016/j.ejor.2023.01.060,S0377221723001091,,A data-driven distributionally robust approach for the optimal coupling of interdependent critical infrastructures under random failures,ar,Article,Bellè A.,60107882;60106017,Thales Research and Technology;Université Paris-Saclay,Palaiseau;Gif-sur-Yvette,France;France,5,"Bellè, Andrea;Abdin, Adam F.;Fang, Yi Ping;Zeng, Zhiguo;Barros, Anne",57286978200;57224782100;55659850100;55348807500;7102745133,60107882-60106017;60106017;60106017;60106017;60106017,2023-09-01,1 September 2023,European Journal of Operational Research,03772217,22489,,Journal,309,2,,872-889,"Critical infrastructures (CIs), such as energy systems, transportation networks and telecommunications networks, are the backbone of any advanced society, and ensuring their resilience is a fundamental task. CIs are often interconnected to, and interdependent on, each other through complex coupling interfaces. Failures can propagate among different CIs through these coupling interfaces, causing multi-sectoral disruption. The design of the coupling interface can strongly impact the cascading effect between different CIs. In this paper, we propose a data-driven distributionally robust approach for the optimal coupling of interdependent CIs. Our model obtains an optimal coupling interface that maximizes the expected combined performance of interdependent CIs under random failure scenarios with ambiguous probability distributions. We demonstrate the validity of the proposed approach using an ambiguity set built upon a synthetic data set of historical contingency scenarios. Interdependent power and gas networks (IPGNs) are used as an illustrative case study. We show that our proposed approach leads to better coupling interfaces with higher expected performance under disruptive scenarios.",Coupling interface | Distributionally robust optimization | Interdependent critical infrastructures | Random failures | Risk analysis,2,0,,,,undefined,
2-s2.0-85149406585,10.1016/j.ress.2023.109199,S095183202300114X,,Dynamic predictive maintenance for multiple components using data-driven probabilistic RUL prognostics: The case of turbofan engines,ar,Article,Mitici M.,60117954;60106017;60007989,"Faculteit Luchtvaart- en Ruimtevaarttechniek, TU Delft;Université Paris-Saclay;Universiteit Utrecht",Delft;Gif-sur-Yvette;Utrecht,Netherlands;France;Netherlands,4,"Mitici, Mihaela;de Pater, Ingeborg;Barros, Anne;Zeng, Zhiguo",56102768600;57223651872;7102745133;55348807500,60007989;60117954;60106017;60106017,2023-06-01,June 2023,Reliability Engineering and System Safety,09518320,13853,,Journal,234,,109199,,"The increasing availability of condition-monitoring data for components/systems has incentivized the development of data-driven Remaining Useful Life (RUL) prognostics in the past years. However, most studies focus on point RUL prognostics, with limited insights into the uncertainty associated with these estimates. This limits the applicability of such RUL prognostics to maintenance planning, which is per definition a stochastic problem. In this paper, we therefore develop probabilistic RUL prognostics using Convolutional Neural Networks. These prognostics are further integrated into maintenance planning, both for single and multiple components. We illustrate our approach for aircraft turbofan engines. The results show that the optimal replacement time for the engines is close to the lower bound of the 99% confidence interval of the RUL estimates. We also show that our proposed maintenance approach leads to a cost reduction of 53% compared to a traditional Time-based maintenance strategy. Moreover, compared with the ideal case when the true RUL is known in advance (perfect RUL prognostics), our approach leads to a limited number of failures. Overall, this paper proposes an end-to-end framework for data-driven predictive maintenance for multiple components, and showcases the potential benefits of data-driven predictive maintenance on cost and reliability.",Aircraft | C-MAPSS turbofan engines | Maintenance scheduling | Predictive maintenance planning | Probabilistic remaining useful life prognostics,9,1,repositoryvor,Green,,undefined,EDF Energy
2-s2.0-85174485754,10.1007/978-981-99-6511-3_20,,,PRODEC-Based Task Analysis for the Design of Semi-Automated Trains,cp,Conference Paper,Sun Y.,60278823;60106017;60032456,ESTIA;Université Paris-Saclay;SNCF,Bidart;Gif-sur-Yvette;Paris,France;France;France,4,"Sun, Yang;Boy, Guy André;Sango, Marc;Barros, Anne",58655818000;6603717509;55353671400;7102745133,60106017-60032456;60106017-60278823;60032456;60106017,2023-01-01,2023,Lecture Notes in Electrical Engineering,18761100,19700186822,18761119,Book Series,1085 LNEE,,,220-230,"The deployment of high-speed automated trains is a worldwide objective for railway stakeholders. The French railway operator SNCF has conducted several safety-oriented analyses and studies to better understand Automated Train Operation (ATO) impacts. But none of them is supported by human-the-loop simulation (HITLS). In PRODEC, AS-IS scenarios based on existing declarative configurations can help to project TO-BE scenarios based on new declarative configurations of the system to be designed. This paper is dedicated to the task analysis of the scenarios selected and constructed by safety analysis. The comparison between the train driver’s tasks in AS-IS scenarios at Grade of Automation 1 (GoA1) for manual driving and the train driver’s tasks in TO-BE scenarios at Grade of Automation 2 (GoA2) for teaming with ATO and ETCS enables to discover design gap and tasks evolutions to project potential functions and infrastructures.",BPMN | Human System Integration | Human-in-the-loop simulation | PRODEC | Railway | Safety analysis,0,0,,,,undefined,
2-s2.0-85163409968,10.1007/978-3-031-34020-8_12,,,Condition-Based Maintenance Optimization Under Large Action Space with Deep Reinforcement Learning Method,cp,Conference Paper,Bi P.,60106017,Université Paris-Saclay,Gif-sur-Yvette,France,4,"Bi, Peng;Fang, Yi Ping;Roux, Matthieu;Barros, Anne",58394465500;55659850100;58348323400;7102745133,60106017;60106017;60106017;60106017,2023-01-01,2023,Communications in Computer and Information Science,18650929,17700155007,18650937,Book Series,1824 CCIS,,,161-172,"Effective maintenance is essential in keeping industrial systems running and avoiding failure. Condition-based maintenance (CBM) leverages the current degradation condition of the studied object to optimize future maintenance interventions. CBM optimization problems are complex for multi-component systems, facing the issue of the curse of dimensionality brought by the increase in the number of components. Reinforcement learning provides a promising perspective to overcome the issue. In this paper, we studied CBM optimization for a multi-component system in which the components degrade subject to the gamma process independently. We considered multiple maintenance choices for individual components, leading to a large combinatorial action space. In this case, traditional deep reinforcement learning algorithms like DQN may struggle to face the inefficiency of exploration. Instead, we propose exploiting Branching Dueling Q-network (BDQ), which incorporates the action branching architecture into DQN to drastically decrease the number of estimated actions. We trained a learning agent to minimize the expected cost for a long time horizon by taking maintenance actions according to the observed exact degrading signal for each component. We compared the policy learned by the agent with some other pre-defined static policies. The numerical results demonstrate the effectiveness of the learning algorithm and its potential for application in systems with more complex structures.",Branching Dueling Q-Network | Condition-based maintenance | Deep Reinforcement learning | Optimal maintenance planning,0,0,,,,undefined,
2-s2.0-85151498277,10.1109/ISGT51731.2023.10066340,,,Restoration Modeling and Optimization of Hybrid Overhead-Underground Power Distribution Systems,cp,Conference Paper,Belaid Y.N.,60106017;60029873,Université Paris-Saclay;Electricité de France,Gif-sur-Yvette;Paris,France;France,5,"Belaid, Youba Nait;Fang, Yiping;Zeng, Zhiguo;Coudray, Patrick;Barros, Anne",57224087723;55659850100;55348807500;57224084974;7102745133,60106017-60029873;60029873;60029873;60106017;60029873,2023-01-01,2023,"2023 IEEE Power and Energy Society Innovative Smart Grid Technologies Conference, ISGT 2023",,21101144491,,Conference Proceeding,,,,,"Disaster awareness increased in recent years among power system stakeholders to face many natural, technical, and malicious adversities. The smart distribution grid (SDG) is thereby at the core of proposed system enhancements, due to its high fragility as well as being the interface to most newly intro-duced grid applications (distributed energy resources, electrical vehicles, industrial Internet-of- Things, etc.). The SDG can be characterized by the type of lines composing the feeders (over-head and/or underground) and deployed intelligent electronic devices (IED) that allow efficient monitoring, protection, and control of the system. This paper proposes an optimization formulation to enhance the resilience of overhead and underground networks, while considering the coupling between power grid operation and the communicating remote-controlled switches (RCS). Novel radiality constraints are introduced to guarantee the tree structure during operation. Results from testing the model in a real network show the validity of proposed radiality constraints and quantify the gap in terms of achieved resilience between full overhead and hybrid overhead-underground networks.",Communication | Optimization | Overhead and Under-ground Networks | Radiality | Resilience | Smart Grid,0,0,,,,undefined,
2-s2.0-85120159246,10.1016/j.ejor.2021.10.062,S0377221721009255,,An optimization model for planning testing and control strategies to limit the spread of a pandemic – The case of COVID-19,ar,Article,Abdin A.F.,60176142;60106017;60030506;60023256;127310613,University of Edinburgh Business School;Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano;Chair on Risk and Resilience of Complex Systems,Edinburgh;Gif-sur-Yvette;Paris;Milan;,United Kingdom;France;France;Italy;,6,"Abdin, Adam F.;Fang, Yi Ping;Caunhye, Aakil;Alem, Douglas;Barros, Anne;Zio, Enrico",57224782100;55659850100;37664713800;25627083700;7102745133;7005289082,60106017;60106017-127310613;60176142;60176142;60106017-127310613;60030506-60023256,2023-01-01,1 January 2023,European Journal of Operational Research,03772217,22489,,Journal,304,1,,308-324,"The global health crisis caused by the coronavirus SARS-CoV-2 has highlighted the importance of efficient disease detection and control strategies for minimizing the number of infections and deaths in the population and halting the spread of the pandemic. Countries have shown different preparedness levels for promptly implementing disease detection strategies, via mass testing and isolation of identified cases, which led to a largely varying impact of the outbreak on the populations and health-care systems. In this paper, we propose a new pandemic resource allocation model for allocating limited disease detection and control resources, in particular testing capacities, in order to limit the spread of a pandemic. The proposed model is a novel epidemiological compartmental model formulated as a non-linear programming model that is suitable to address the inherent non-linearity of an infectious disease progression within the population. A number of novel features are implemented in the model to take into account important disease characteristics, such as asymptomatic infection and the distinct risk levels of infection within different segments of the population. Moreover, a method is proposed to estimate the vulnerability level of the different communities impacted by the pandemic and to explicitly consider equity in the resource allocation problem. The model is validated against real data for a case study of COVID-19 outbreak in France and our results provide various insights on the optimal testing intervention time and level, and the impact of the optimal allocation of testing resources on the spread of the disease among regions. The results confirm the significance of the proposed modeling framework for informing policymakers on the best preparedness strategies against future infectious disease outbreaks.",(S) decision support systems | COVID-19 | Disaster preparedness | Non-linear programming | Pandemic control,13,1,repositoryam,Green,,undefined,
2-s2.0-85137640598,10.1016/j.ress.2022.108770,S0951832022003933,,An hybrid domain adaptation diagnostic network guided by curriculum pseudo labels for electro-mechanical actuator,ar,Article,Wang J.,60106017;60016521,Université Paris-Saclay;Sichuan University,Gif-sur-Yvette;Chengdu,France;China,5,"Wang, Jianyu;Zeng, Zhiguo;Zhang, Heng;Barros, Anne;Miao, Qiang",57206675800;55348807500;57193887368;7102745133;55572424500,60016521-60106017;60106017;60016521;60106017;60016521,2022-12-01,December 2022,Reliability Engineering and System Safety,09518320,13853,,Journal,228,,108770,,"Electro-mechanical actuator (EMA) usually operates in complex working conditions. When developing data-driven fault diagnosis models for EMA, training and testing data might come from different working conditions, reducing the generalization ability of traditional data-driven models. To address the challenge of domain difference between training and testing data, we propose a hybrid domain adaptation network, whose loss functions comprise of adversarial loss, triplet loss and cross-entropy loss. Adversarial loss and triplet loss can enhance the inter-domain and intra-class domain clustering, respectively. A softmax classifier with cross-entropy loss is used to predict pseudo labels for unlabeled target domain training samples. Compared to traditional transfer learning models that only reduces the global inter-domain difference between two domains, the strength of our model is that both the intra and inter-class domain difference are reduced. Curriculum pseudo labeling (CPL) is further applied to dynamically adjust thresholds for different classes during training phases. Compared to the fixed threshold in previous efforts, CPL can take into account the difference in pseudo label prediction and improve the performance of the developed model. The experiment results show that, compared to several transfer learning models, the developed model can achieve better classification accuracy in target domain.",Curriculum pseudo labeling | EMA fault diagnosis | Hybrid domain adaptation | Inter-domain clustering | Intra-class domain clustering,6,0,,,NSFC,52075349,National Natural Science Foundation of China
