eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85180543234,10.1016/j.cor.2023.106513,S0305054823003775,,Improving critical buildings energy resilience via shared autonomous electric vehicles — A sequential optimization framework,ar,Article,Liu J.,60106017;60032545;60013789,Université Paris-Saclay;EM Normandie;Beihang University,Gif-sur-Yvette;Le Havre;Beijing,France;France;China,3,"Liu, Jinming;Abdin, Adam;Puchinger, Jakob",58777991900;57224782100;56027744800,60013789;60106017;60106017-60032545,2024-03-01,March 2024,Computers and Operations Research,03050548,24355,,Journal,163,,106513,,"The interdependence between electric power systems and transportation systems is rapidly increasing due to the high adoption of Electric Vehicles (EVs) and their charging infrastructures. Electric vehicles can represent additional load for the power system, but can also bring new opportunities for contributing to the efficient and resilient operations of the power grid. This is mainly because of their ability to provide back power to the system when it is not used for transportation, essentially serving as a moving battery source for the power grid. This so-called Vehicle-to-Grid (V2G), Vehicle-to-Building (V2B), or, generally, Vehicle-to-X (V2X) capability of EVs has been extensively studied in the literature. However, the upcoming development of autonomous driving systems and their integration within sharing mobility services can significantly add to the possibilities of interaction between the transportation system and the power grid. This paradigm is studied to a much lesser extent in the existing literature. Shared Autonomous Electric Vehicles (SAEVs) could allow for more control of the actions of the fleet allowing for large-scale coordinated responses both to mobility and energy demands. This coordinated response can be particularly useful for providing emergency power services in case of power loss while maintaining a high level of transportation service. Thus, improving the overall resilience of the system. In this work, we develop a dynamic optimization framework to evaluate the potential contribution of the SAEV fleet for improving critical buildings’ energy resilience via V2B services. The model considers passengers’ pick-up and transportation, relocation of vehicles, and battery charging and discharging. Power outage scenarios for critical buildings are considered and the potential of the SAEV fleet to fully or partially respond to the emergency power outage is studied. In addition, sensitivity analysis for key parameters such as the outage parameters is introduced. The results of the case study for the Ile-de-France region in France shows that the SAEV fleet has the potential to provide V2B service for critical building at an acceptable loss of passenger total waiting time on the transportation side. Furthermore, it is shown that it is capable of satisfying the emergency power load at a lower cost compared to investing in extra backup generators unless the outage occurs at significantly high frequencies.",Autonomous electric vehicles | Model predictive control | Resilience of complex systems | Rolling horizon optimization | Vehicle-to-building,0,0,,,,undefined,
2-s2.0-85178143927,10.1016/j.scs.2023.105068,S2210670723006789,,Understanding District Heating Networks Vulnerability: A Comprehensive Analytical Approach with Controllability Consideration,ar,Article,Mao D.,60278862;60106017;60019616,Ministry of Industry and Information Technology;Université Paris-Saclay;Harbin Institute of Technology,Beijing;Gif-sur-Yvette;Harbin,China;France;China,4,"Mao, Ding;Wang, Peng;Fang, Yi Ping;Ni, Long",57219195567;58402659300;55659850100;13104427800,60019616-60278862-60106017;60019616-60278862;60106017;60019616-60278862,2024-02-01,February 2024,Sustainable Cities and Society,22106707,19700194105,,Journal,101,,105068,,"District heating networks (DHNs) are critical infrastructures that ensure production and residents' living. Analyzing vulnerability characteristics of DHNs is of great significance in heating safety decision-making. In this study, we analyze the structure, function, operation, and failure characteristics of DHNs and propose vulnerability analysis methods. We develop failure simulation models under fully-controllable (FC) and uncontrollable (UC) conditions for six failure scenarios based on component importance. To verify the proposed methods' effectiveness, we applied them to a DHN in a Chinese city. Upon analyzing the appositeness of various vulnerability assessment indicators, we find that the heat source connectivity efficiency loss rate, established based on hydraulic distribution in DHNs, can effectively characterize both topological and functional vulnerability. Our analysis also reveals that controllable DHNs, which evenly distribute heat supply among connected users for fairness, can result in lower flow and greater functional vulnerability compared to UC DHNs. In particular, under large area failure (AF) scenarios, the average functional vulnerability of UC DHNs increases by 27.59% to 38.30% compared to small-AF scenarios, while that of controllable DHNs increases by 103.78% to 120.58%. The proposed vulnerability assessment framework considering topology and function from both quantitative and qualitative perspectives, can grasp heating vulnerabilities multi-dimensionally.",Component importance | Controllability | District heating network | Failure scenario | Vulnerability,0,0,,,CSC,202206120207,China Scholarship Council
2-s2.0-85176261850,10.1016/j.jmateco.2023.102919,S030440682300112X,,Cost allocation in energy distribution networks,ar,Article,Lowing D.,60106017;60031218,Université Paris-Saclay;Université Jean Monnet Saint Etienne,Gif-sur-Yvette;Saint-Etienne,France;France,1,"Lowing, David",57226197082,60106017-60031218,2024-02-01,February 2024,Journal of Mathematical Economics,03044068,28999,18731538,Journal,110,,102919,,"This paper presents a cost allocation problem arising from energy distribution and proposes cost allocation rules that depend on the distribution network and consumer demands. To determine relevant rules, we adopt a normative approach and compare two principles: (i) the connection principle and (ii) the uniformity principle. The Connection rule is proposed in accordance with (i), while the Uniform rule is developed in line with (ii). However, (i) and (ii) are incompatible. To make a trade-off between them, we propose a family of Mixed rules. Each rule is axiomatically characterized. Then, we demonstrate that the Connection rule coincides with the multi-choice Shapley value of a specific multi-choice game derived from the original problem. Moreover, the Connection rule is in the Core of this game. Similarly, we show that the Uniform rule and the Mixed rules coincide with other solution concepts from multi-choice games.",Axiomatization | Cost allocation rules | Energy distribution network | Multi-choice games,0,0,repositoryam,Green,ANRT,undefined,Association Nationale de la Recherche et de la Technologie
2-s2.0-85167357118,10.1002/ijc.34675,,37539961,"No changes in clinical presentation, treatment strategies and survival of pancreatic cancer cases during the SARS-COV-2 outbreak: A retrospective multicenter cohort study on real-world data",ar,Article,Kempf E.,60106017;60025066;60021567;60019163;60014254;60009647,Université Paris-Saclay;Université Paris-Est Créteil Val de Marne;AP-HP Assistance Publique - Hopitaux de Paris;Hopital Cochin AP-HP;Hôpital Tenon;University Sorbonne Paris Nord,Gif-sur-Yvette;Creteil;Paris;Paris;Paris;Villetaneuse,France;France;France;France;France;France,14,"Kempf, Emmanuelle;Priou, Sonia;Lamé, Guillaume;Laurent, Alexis;Guével, Etienne;Tzedakis, Stylianos;Bey, Romain;Fuks, David;Chatellier, Gilles;Tannier, Xavier;Galula, Gilles;Flicoteaux, Rémi;Daniel, Christel;Tournigand, Christophe",56725269100;57222747509;57188276500;56545177000;58527940300;57189250307;57221489005;24073064500;24362435800;8979357900;6506467241;36236746300;24334555100;55762423400,60009647-60025066;60021567-60106017;60106017;60025066;60021567;60019163;60021567;60019163;60021567;60009647;60014254;60021567;60021567;60025066,2023-12-15,15 December 2023,International Journal of Cancer,00207136,29873,10970215,Journal,153,12,,1988-1996,"The SARS-COV-2 pandemic disrupted healthcare systems. We assessed its impact on the presentation, care trajectories and outcomes of new pancreatic cancers (PCs) in the Paris area. We performed a retrospective multicenter cohort study on the data warehouse of Greater Paris University Hospitals (AP-HP). We identified all patients newly referred with a PC between January 1, 2019, and June 30, 2021, and excluded endocrine tumors. Using claims data and health records, we analyzed the timeline of care trajectories, the initial tumor stage, the treatment categories: pancreatectomy, exclusive systemic therapy or exclusive best supportive care (BSC). We calculated patients' 1-year overall survival (OS) and compared indicators in 2019 and 2020 to 2021. We included 2335 patients. Referral fell by 29% during the first lockdown. The median time from biopsy and from first MDM to treatment were 25 days (16-50) and 21 days (11-40), respectively. Between 2019 and 2020 to 2021, the rate of metastatic tumors (36% vs 33%, P =.39), the pTNM distribution of the 464 cases with upfront tumor resection (P =.80), and the proportion of treatment categories did not vary: tumor resection (32% vs 33%), exclusive systemic therapy (49% vs 49%), exclusive BSC (19% vs 19%). The 1-year OS rates in 2019 vs 2020 to 2021 were 92% vs 89% (aHR = 1.42; 95% CI, 0.82-2.48), 52% vs 56% (aHR = 0.88; 95% CI, 0.73-1.08), 13% vs 10% (aHR = 1.00; 95% CI, 0.78-1.25), in the treatment categories, respectively. Despite an initial decrease in the number of new PCs, we did not observe any stage shift. OS did not vary significantly.",COVID-19 | delivery of healthcare | early detection of cancer | health services research | incidence | pancreatic neoplasms | quality of healthcare | routinely collected health data,0,1,repositoryvor,Green,ARC,COVID202001343,Fondation ARC pour la Recherche sur le Cancer
2-s2.0-85177747258,10.1186/s12544-023-00622-0,,,Integrating future trends and uncertainties in urban mobility design via data-driven personas and scenarios,ar,Article,Gall T.,60196608;60106017,l’Institut de Recherche Technologique (IRT) SystemX;Université Paris-Saclay,Palaiseau;Gif-sur-Yvette,France;France,4,"Gall, Tjark;Hörl, Sebastian;Vallet, Flore;Yannou, Bernard",57310515100;57194609591;54923013200;6602469780,60106017-60196608;60196608;60106017-60196608;60106017,2023-12-01,December 2023,European Transport Research Review,18670717,19400158557,18668887,Journal,15,1,45,,"Urban mobility contributes significantly to greenhouse gas emissions and comes with negative social impacts for various groups, such as limited accessibility to opportunity or basic services. Transitions towards sustainable and people-centred urban mobility systems are paramount. Yet, this is accompanied by various challenges. Complex urban systems are accompanied by high uncertainties (e.g., technological progress, demographics, climate change) which are currently not well integrated. Possible solutions originate from design, policymaking, and innovation, with a widespread disconnection due to non-compatible methods. This paper presents a method to improve the ability to design future urban mobility systems by integrating different approaches for modelling what the future could be and who could be the users. The research question is how diverse future user needs can be integrated in design processes for urban mobility systems. The proposed scenario-based design and personas allows to create data-driven proto-personas—a set of archetypical users with assigned characteristics and behaviours—test their validity, derive distributions across geographical areas, and transform them for different 2030 scenarios. This serves as input to create full personas and synthetic populations as intermediary design objects for the collaboration of designers and simulation experts. The methodology is exemplarily applied in the context of Paris. It contributes to urban mobility solution design that is more aware of future uncertainty and diverse needs of users, therefore, better capable to respond to today’s challenges. The approach is replicable with open data and accessible source code: https://github.com/TjarkGall/proto-persona-clustering .",Design support | Inclusive mobility | Persona | Simulation | Synthetic population,0,1,publisherfullgold,Gold,,undefined,
2-s2.0-85177175800,10.1016/j.respe.2023.102189,S0398762023007927,37972522,Développement d'un modèle de traitement automatique du langage pour calculer des indicateurs qualité du cancer du sein: une étude transversale multicentrique,ar,Article,Guével E.,60123796;60106017;60025066;60021567;60009647,Université Paris Cité;Université Paris-Saclay;Université Paris-Est Créteil Val de Marne;AP-HP Assistance Publique - Hopitaux de Paris;University Sorbonne Paris Nord,Paris;Gif-sur-Yvette;Creteil;Paris;Villetaneuse,France;France;France;France;France,11,"Guével, Etienne;Priou, Sonia;Flicoteaux, Rémi;Lamé, Guillaume;Bey, Romain;Tannier, Xavier;Cohen, Ariel;Chatellier, Gilles;Daniel, Christel;Tournigand, Christophe;Kempf, Emmanuelle",58527940300;57222747509;36236746300;57188276500;57221489005;8979357900;58712573200;24362435800;24334555100;55762423400;56725269100,60021567;60106017;60021567;60106017;60021567;60009647;60021567;60123796;60021567;60025066;60009647-60025066,2023-12-01,December 2023,Revue d'Epidemiologie et de Sante Publique,03987620,22619,17730627,Journal,71,6,102189,,"Objectives: Medico-administrative data are promising to automate the calculation of Healthcare Quality and Safety Indicators. Nevertheless, not all relevant indicators can be calculated with this data alone. Our feasibility study objective is to analyze 1) the availability of data sources; 2) the availability of each indicator elementary variables, and 3) to apply natural language processing to automatically retrieve such information. Method: We performed a multicenter cross-sectional observational feasibility study on the clinical data warehouse of Assistance Publique – Hôpitaux de Paris (AP-HP). We studied the management of breast cancer patients treated at AP-HP between January 2019 and June 2021, and the quality indicators published by the European Society of Breast Cancer Specialist, using claims data from the Programme de Médicalisation du Système d'Information (PMSI) and pathology reports. For each indicator, we calculated the number (%) of patients for whom all necessary data sources were available, and the number (%) of patients for whom all elementary variables were available in the sources, and for whom the related HQSI was computable. To extract useful data from the free text reports, we developed and validated dedicated rule-based algorithms, whose performance metrics were assessed with recall, precision, and f1-score. Results: Out of 5785 female patients diagnosed with a breast cancer (60.9 years, IQR [50.0–71.9]), 5,147 (89.0%) had procedures related to breast cancer recorded in the PMSI, and 3732 (72.5%) had at least one surgery. Out of the 34 key indicators, 9 could be calculated with the PMSI alone, and 6 others became so using the data from pathology reports. Ten elementary variables were needed to calculate the 6 indicators combining the PMSI and pathology reports. The necessary sources were available for 58.8% to 94.6% of patients, depending on the indicators. The extraction algorithms developed had an average accuracy of 76.5% (min-max [32.7%–93.3%]), an average precision of 77.7% [10.0%–97.4%] and an average sensitivity of 71.6% [2.8% to 100.0%]. Once these algorithms applied, the variables needed to calculate the indicators were extracted for 2% to 88% of patients, depending on the indicators. Discussion: The availability of medical reports in the electronic health records, of the elementary variables within the reports, and the performance of the extraction algorithms limit the population for which the indicators can be calculated. Conclusions: The automated calculation of quality indicators from electronic health records is a prospect that comes up against many practical obstacles.",Electronic Data Processing | Health Care | Natural Language Processing | Quality Indicators,0,0,,,,undefined,
2-s2.0-85173239489,10.1016/j.scs.2023.104949,S2210670723005607,,Topological and functional vulnerability analysis and mitigation for single-source heating networks based on tree models,ar,Article,Mao D.,60278862;60106017;60019616,Ministry of Industry and Information Technology;Université Paris-Saclay;Harbin Institute of Technology,Beijing;Gif-sur-Yvette;Harbin,China;France;China,4,"Mao, Ding;Wang, Peng;Fang, Yi Ping;Ni, Long",57219195567;58402659300;55659850100;13104427800,60019616-60278862-60106017;60019616-60278862;60106017;60019616-60278862,2023-12-01,December 2023,Sustainable Cities and Society,22106707,19700194105,,Journal,99,,104949,,"The performance of district heating networks (DHNs) to provide heat to users under different operation conditions depends largely on their topology. It is of great significance to analyze the topological and functional characteristics of DHNs and propose design and reconstruction guidelines for vulnerability reduction. This study proposes binary tree and generalized tree models of DHNs, from which their topological characteristics can be quickly identified, and the functional analysis can be facilitated. Then, we propose a topology design and reconstruction framework for DHNs based on vulnerability assessment. Various characteristics of the branched and looped structure are studied in their influence on system vulnerability, based on which several design criteria for single-source DHNs are deduced. Specifically, single-source branched DHNs shall be designed as symmetrical to avoid long pipelines bearing enormous heat loads. When transforming the branched DHNs into looped DHNs, priority should be given to adding cotrees between the intermediate nodes of high importance, and the diameters of looped pipes should be enlarged. Finally, a detailed case study on a real-world single-source DHN demonstrates the effectiveness of the proposed approaches and design criteria.",District heating network | Failure simulation | Graph theory | Topology design | Tree model | Vulnerability assessment,0,0,,,CSC,202206120207,China Scholarship Council
2-s2.0-85168485820,10.1016/j.jsse.2023.08.003,S246889672300068X,,An extended review on cyber vulnerabilities of AI technologies in space applications: Technological challenges and international governance of AI,ar,Article,Breda P.,60106017;60068861;60028502;60024642;114601096,Université Paris-Saclay;Tallinna Tehnikaülikool;Istanbul Üniversitesi;ISU International Space University;Space Generation Advisory Council,Gif-sur-Yvette;Tallinn;Istanbul;Illkirch-Graffenstaden;Vienna,France;Estonia;Turkey;France;Austria,6,"Breda, Paola;Markova, Rada;Abdin, Adam F.;Mantı, Nebile Pelin;Carlo, Antonio;Jha, Devanshu",57209582525;58531024500;57224782100;57222004188;57208624091;57219760916,60024642;114601096;60106017;60028502;60068861;114601096,2023-12-01,December 2023,Journal of Space Safety Engineering,24688975,21100871641,24688967,Journal,10,4,,447-458,"The aerospace community and industry have recently shown increasing interest towards the use of Artificial Intelligence (AI) for space applications, partially driven by the recent development of the NewSpace economy. AI has already come into extensive use in spacecraft operations, for example to support efficient operations of satellite constellations and system health management. However, since most critical infrastructures rely on space systems, the use of new technologies, such as AI algorithms or increased system autonomy on-board, introduces further vulnerabilities on the system level. As a matter of fact, AI cyber security is becoming an important aspect to ensure space safety and operational security. Apart from identifying new vulnerabilities that AI systems may introduce to space assets, this paper seeks for safety guidelines and technical standardisations developed for terrestrial applications that can be applicable to AI systems in space. Existing policy guidance for cybersecurity and AI, especially for the European context, is discussed. To promote the safe use of AI technologies in space this work underlines the urgency for policymakers, governance, and technical institutions to initiate or further support the development of a suitable framework to address the new cyber-vulnerabilities introduced by AI technologies when applied to space systems. The paper suggests a regulatory approach based on technical standardisation in the field of AI, which is built upon a multidisciplinary research of AI applications in non-space sectors where the level of autonomy is more advanced.",Artificial intelligence | Cyber-vulnerabilities | Safety policy | Space applications | Technical standards,0,0,,,,undefined,
2-s2.0-85166528556,10.1016/j.eneco.2023.107094,S0140988323005923,,Is Power-to-Gas always beneficial? The implications of ownership structure,ar,Article,Megy C.,60106017;60025704;60006317,"Université Paris-Saclay;City, University of London;IFP Energies nouvelles",Gif-sur-Yvette;London;Rueil-Malmaison,France;United Kingdom;France,2,"Megy, Camille;Massol, Olivier",58118150900;35796032000,60106017-60006317;60106017-60006317-60025704,2023-12-01,December 2023,Energy Economics,01409883,29374,,Journal,128,,107094,,"Power-to-gas (PtG), a technology that converts electricity into hydrogen, is expected to become a core component of future low-carbon energy systems. While its economics and performance as a sector coupling technique have been well studied in the context of perfectly competitive energy markets, the distortions caused by the presence of large strategic players with a multi-market presence have received little attention. In this paper, we examine them by specifying a partial equilibrium model that provides a stylized representation of the interactions among the natural gas, electricity, and hydrogen markets. We calibrate our model using the future Dutch energy system as a reference. Using this model, we compare several possible ownership organizations for PtG to investigate how imperfect competition affects its operations. Evidence gained from these market simulations show that the effects of PtG vary with the multi-market profile of its operator. Producers of fossil-based hydrogen tend to make little use of PtG, whereas renewable power producers use it more to increase the electricity prices. Although PtG operations are profitable and can be welfare-enhancing, welfare distribution among agents is highly unequal when PtG is strategically operated in conjunction with variable renewable generation. In that case, PtG also raises environmental concerns as it stimulates the use of polluting thermoelectric generation.",Hydrogen | Mixed complementarity problem | Multi-market oligopoly | Power-to-Gas | Renewable energy sources | Sector coupling,1,0,repositoryam,Green,UMD,undefined,University of Maryland
2-s2.0-85161946383,10.1186/s12544-023-00592-3,,,"Correction: Pedestrian mobility in Mobility as a Service (MaaS): sustainable value potential and policy implications in the Paris region case (European Transport Research Review, (2023), 15, 1, (13), 10.1186/s12544-023-00585-2)",er,Erratum,Reyes Madrigal L.M.,60196608;60106017;60032545,l’Institut de Recherche Technologique (IRT) SystemX;Université Paris-Saclay;EM Normandie,Palaiseau;Gif-sur-Yvette;Le Havre,France;France;France,3,"Reyes Madrigal, Laura Mariana;Nicolaï, Isabelle;Puchinger, Jakob",58223010500;7801462380;56027744800,60106017-60196608;60106017;60106017-60032545,2023-12-01,December 2023,European Transport Research Review,18670717,19400158557,18668887,Journal,15,1,18,,"Following publication of the original article [1], the authors reported that the order of the affiliations for Jakob Puchinger were transposed. The correct order is given in this correction. The original article [1] has been corrected.",,0,1,publisherfullgold,Gold,,undefined,
