,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,status,stamped team
0,2-s2.0-85180543234,10.1016/j.cor.2023.106513,S0305054823003775,,Improving critical buildings energy resilience via shared autonomous electric vehicles — A sequential optimization framework,ar,Article,Liu J.,60106017;60032545;60013789,Université Paris-Saclay;EM Normandie;Beihang University,Gif-sur-Yvette;Le Havre;Beijing,France;France;China,3,"Liu, Jinming;Abdin, Adam;Puchinger, Jakob",58777991900;57224782100;56027744800,60013789;60106017;60106017-60032545,2024-03-01,March 2024,Computers and Operations Research,03050548,24355,,Journal,163,,106513,,"The interdependence between electric power systems and transportation systems is rapidly increasing due to the high adoption of Electric Vehicles (EVs) and their charging infrastructures. Electric vehicles can represent additional load for the power system, but can also bring new opportunities for contributing to the efficient and resilient operations of the power grid. This is mainly because of their ability to provide back power to the system when it is not used for transportation, essentially serving as a moving battery source for the power grid. This so-called Vehicle-to-Grid (V2G), Vehicle-to-Building (V2B), or, generally, Vehicle-to-X (V2X) capability of EVs has been extensively studied in the literature. However, the upcoming development of autonomous driving systems and their integration within sharing mobility services can significantly add to the possibilities of interaction between the transportation system and the power grid. This paradigm is studied to a much lesser extent in the existing literature. Shared Autonomous Electric Vehicles (SAEVs) could allow for more control of the actions of the fleet allowing for large-scale coordinated responses both to mobility and energy demands. This coordinated response can be particularly useful for providing emergency power services in case of power loss while maintaining a high level of transportation service. Thus, improving the overall resilience of the system. In this work, we develop a dynamic optimization framework to evaluate the potential contribution of the SAEV fleet for improving critical buildings’ energy resilience via V2B services. The model considers passengers’ pick-up and transportation, relocation of vehicles, and battery charging and discharging. Power outage scenarios for critical buildings are considered and the potential of the SAEV fleet to fully or partially respond to the emergency power outage is studied. In addition, sensitivity analysis for key parameters such as the outage parameters is introduced. The results of the case study for the Ile-de-France region in France shows that the SAEV fleet has the potential to provide V2B service for critical building at an acceptable loss of passenger total waiting time on the transportation side. Furthermore, it is shown that it is capable of satisfying the emergency power load at a lower cost compared to investing in extra backup generators unless the outage occurs at significantly high frequencies.",Autonomous electric vehicles | Model predictive control | Resilience of complex systems | Rolling horizon optimization | Vehicle-to-building,0,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
1,2-s2.0-85178664213,10.1016/j.ress.2023.109834,S0951832023007482,,Dynamic risk analysis of evolving scenarios in oil and gas separator,ar,Article,Alsulieman A.,60106017;60081112;60020547,Université Paris-Saclay;Texas Engineering Experiment Station;Texas A&amp;M University,Gif-sur-Yvette;College Station;College Station,France;United States;United States,6,"Alsulieman, Abdullah;Ge, Xihe;Zeng, Zhiguo;Butenko, Sergiy;Khan, Faisal;El-Halwagi, Mahmoud",58746598800;58746961800;55348807500;58746649500;7402008246;7004412200,60081112-60020547;60106017;60106017;60020547;60081112-60020547;60081112-60020547,2024-03-01,March 2024,Reliability Engineering and System Safety,09518320,13853,,Journal,243,,109834,,"Risk assessment models in the oil and gas (O&G) industry has begun to transform from time-static models like fault tree, event tree or bowtie to dynamic risk assessment (DRA) models, as the latter is able to better capture the real-time-dependent risk behavior of safety barriers. Currently, most existing works on DRA in O&G industry mainly rely on event-driven data, such as failures or accident data from similar systems for risk updating. These data can be collected only when accidents or near-misses have occurred, which limits the prediction capability of the DRA model. To address this drawback, a DRA model is developed in this paper that uses condition-monitoring data for risk updating. A significant advantage of using condition-monitoring data is that the risk can be updated before accidents or failures occur, giving the operation team more time to take preventive actions. The developed approach comprises of an offline and an online phase. In the offline phase, a conventional risk assessment is performed based on fault tree models to calculate the risks at the beginning of the operation. Through the offline analysis, we can also identify the most critical safety barriers by examining their contribution to the risk indexes. Critical safety barriers are selected for condition-monitoring. In the online phase, the condition-monitoring data are used to update the reliability of the safety barriers in real-time based on a sequential Markov Chain Monte Carlo (MCMC) algorithm using a Bayesian framework. The updated reliabilities of the safety barriers are, then, used in the offline risk assessment model for a DRA. The developed approach is applied for a DRA of liquid carryover from an oil and gas separator to downstream equipment, using real-time data from the separator's safety barriers. The results show that the developed method provides a more accurate representation of the system's performance, enabling early detection of potential failures and reducing uncertainty in risk estimates. The proposed DRA model demonstrated its effectiveness in predicting failures of safety barriers in real-time, giving operational teams ample opportunity to take corrective action. This leads to improved decision-making in the O&G industry, enabling timely response to changes in risk levels. The use of condition-monitoring data enhances the accuracy of risk estimations, representing a crucial advance in DRA applications in the O&G sector.",Condition-monitoring | Dynamic risk analysis | Process safety | Risk analysis | Safety analysis,0,0,,,EDF,ANR-22CE10–0004,Elizabeth Dole Foundation,Already existed in HAL!,Already existed in the stamped team!
2,2-s2.0-85178143927,10.1016/j.scs.2023.105068,S2210670723006789,,Understanding District Heating Networks Vulnerability: A Comprehensive Analytical Approach with Controllability Consideration,ar,Article,Mao D.,60278862;60106017;60019616,Ministry of Industry and Information Technology;Université Paris-Saclay;Harbin Institute of Technology,Beijing;Gif-sur-Yvette;Harbin,China;France;China,4,"Mao, Ding;Wang, Peng;Fang, Yi Ping;Ni, Long",57219195567;58402659300;55659850100;13104427800,60019616-60278862-60106017;60019616-60278862;60106017;60019616-60278862,2024-02-01,February 2024,Sustainable Cities and Society,22106707,19700194105,,Journal,101,,105068,,"District heating networks (DHNs) are critical infrastructures that ensure production and residents' living. Analyzing vulnerability characteristics of DHNs is of great significance in heating safety decision-making. In this study, we analyze the structure, function, operation, and failure characteristics of DHNs and propose vulnerability analysis methods. We develop failure simulation models under fully-controllable (FC) and uncontrollable (UC) conditions for six failure scenarios based on component importance. To verify the proposed methods' effectiveness, we applied them to a DHN in a Chinese city. Upon analyzing the appositeness of various vulnerability assessment indicators, we find that the heat source connectivity efficiency loss rate, established based on hydraulic distribution in DHNs, can effectively characterize both topological and functional vulnerability. Our analysis also reveals that controllable DHNs, which evenly distribute heat supply among connected users for fairness, can result in lower flow and greater functional vulnerability compared to UC DHNs. In particular, under large area failure (AF) scenarios, the average functional vulnerability of UC DHNs increases by 27.59% to 38.30% compared to small-AF scenarios, while that of controllable DHNs increases by 103.78% to 120.58%. The proposed vulnerability assessment framework considering topology and function from both quantitative and qualitative perspectives, can grasp heating vulnerabilities multi-dimensionally.",Component importance | Controllability | District heating network | Failure scenario | Vulnerability,0,0,,,CSC,202206120207,China Scholarship Council,Already existed in HAL!,Already existed in the stamped team!
3,2-s2.0-85173239489,10.1016/j.scs.2023.104949,S2210670723005607,,Topological and functional vulnerability analysis and mitigation for single-source heating networks based on tree models,ar,Article,Mao D.,60278862;60106017;60019616,Ministry of Industry and Information Technology;Université Paris-Saclay;Harbin Institute of Technology,Beijing;Gif-sur-Yvette;Harbin,China;France;China,4,"Mao, Ding;Wang, Peng;Fang, Yi Ping;Ni, Long",57219195567;58402659300;55659850100;13104427800,60019616-60278862-60106017;60019616-60278862;60106017;60019616-60278862,2023-12-01,December 2023,Sustainable Cities and Society,22106707,19700194105,,Journal,99,,104949,,"The performance of district heating networks (DHNs) to provide heat to users under different operation conditions depends largely on their topology. It is of great significance to analyze the topological and functional characteristics of DHNs and propose design and reconstruction guidelines for vulnerability reduction. This study proposes binary tree and generalized tree models of DHNs, from which their topological characteristics can be quickly identified, and the functional analysis can be facilitated. Then, we propose a topology design and reconstruction framework for DHNs based on vulnerability assessment. Various characteristics of the branched and looped structure are studied in their influence on system vulnerability, based on which several design criteria for single-source DHNs are deduced. Specifically, single-source branched DHNs shall be designed as symmetrical to avoid long pipelines bearing enormous heat loads. When transforming the branched DHNs into looped DHNs, priority should be given to adding cotrees between the intermediate nodes of high importance, and the diameters of looped pipes should be enlarged. Finally, a detailed case study on a real-world single-source DHN demonstrates the effectiveness of the proposed approaches and design criteria.",District heating network | Failure simulation | Graph theory | Topology design | Tree model | Vulnerability assessment,0,0,,,CSC,202206120207,China Scholarship Council,Already existed in HAL!,Already existed in the stamped team!
4,2-s2.0-85168485820,10.1016/j.jsse.2023.08.003,S246889672300068X,,An extended review on cyber vulnerabilities of AI technologies in space applications: Technological challenges and international governance of AI,ar,Article,Breda P.,60106017;60068861;60028502;60024642;114601096,Université Paris-Saclay;Tallinna Tehnikaülikool;Istanbul Üniversitesi;ISU International Space University;Space Generation Advisory Council,Gif-sur-Yvette;Tallinn;Istanbul;Illkirch-Graffenstaden;Vienna,France;Estonia;Turkey;France;Austria,6,"Breda, Paola;Markova, Rada;Abdin, Adam F.;Mantı, Nebile Pelin;Carlo, Antonio;Jha, Devanshu",57209582525;58531024500;57224782100;57222004188;57208624091;57219760916,60024642;114601096;60106017;60028502;60068861;114601096,2023-12-01,December 2023,Journal of Space Safety Engineering,24688975,21100871641,24688967,Journal,10,4,,447-458,"The aerospace community and industry have recently shown increasing interest towards the use of Artificial Intelligence (AI) for space applications, partially driven by the recent development of the NewSpace economy. AI has already come into extensive use in spacecraft operations, for example to support efficient operations of satellite constellations and system health management. However, since most critical infrastructures rely on space systems, the use of new technologies, such as AI algorithms or increased system autonomy on-board, introduces further vulnerabilities on the system level. As a matter of fact, AI cyber security is becoming an important aspect to ensure space safety and operational security. Apart from identifying new vulnerabilities that AI systems may introduce to space assets, this paper seeks for safety guidelines and technical standardisations developed for terrestrial applications that can be applicable to AI systems in space. Existing policy guidance for cybersecurity and AI, especially for the European context, is discussed. To promote the safe use of AI technologies in space this work underlines the urgency for policymakers, governance, and technical institutions to initiate or further support the development of a suitable framework to address the new cyber-vulnerabilities introduced by AI technologies when applied to space systems. The paper suggests a regulatory approach based on technical standardisation in the field of AI, which is built upon a multidisciplinary research of AI applications in non-space sectors where the level of autonomy is more advanced.",Artificial intelligence | Cyber-vulnerabilities | Safety policy | Space applications | Technical standards,0,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
5,2-s2.0-85165538390,10.1016/j.ress.2023.109515,S0951832023004295,,Dependent failure behavior modeling for risk and reliability: A systematic and critical literature review,re,Review,Zeng Z.,60119141;60106017,Rutgers University–New Brunswick;Université Paris-Saclay,New Brunswick;Gif-sur-Yvette,United States;France,3,"Zeng, Zhiguo;Barros, Anne;Coit, David",55348807500;7102745133;7006816402,60106017;60106017;60119141,2023-11-01,November 2023,Reliability Engineering and System Safety,09518320,13853,,Journal,239,,109515,,"This paper presents a systematic and critical literature review on dependent failure behavior modeling in risk and reliability. A literature search is conducted systematically based on pre-defined protocols. The resulting papers are first analyzed through a meta-data and bibliometric analysis, in which the trend of publication growth, important publication sources and authors, collaboration among the authors are identified. The evolution of research topics in three time periods (prior to mid-1990s, mid-1990s - 2010 and 2010 - present) is also discussed through a semantic clustering. Then, the most important papers from the literature search are chosen for a content analysis and critical review. The main results of the critical literature review include: First, we summarize the dependent failure behavior in different system hierarchies, i.e., failure mechanism level, component level, system level and systems-of-systems level. In each level, the main dependent failure behavior from literature is discussed with examples. Second, we develop a classification framework for the dependent failure behavior models. The most frequently-used models in each category are critically reviewed, based on which we identify five challenging problems the current dependency models face, give our perspectives on their possible solutions, and discuss future research opportunities.",Dependent failure behavior | Reliability | Risk,2,0,,,EDF,undefined,Orange,Already existed in HAL!,Already existed in the stamped team!
6,2-s2.0-85164226223,10.1016/j.ress.2023.109445,S0951832023003599,,An integrated resilience assessment methodology for emergency response systems based on multi-stage STAMP and dynamic Bayesian networks,ar,Article,An X.,60117886;60106017;60082196;60016835;60005248,"Faculteit Techniek, Bestuur en Management, TU Delft;Université Paris-Saclay;China National Offshore Oil Corporation;Beijing Institute of Technology;Johns Hopkins University",Delft;Gif-sur-Yvette;Beijing;Beijing;Baltimore,Netherlands;France;China;China;United States,7,"An, Xu;Yin, Zhiming;Tong, Qi;Fang, Yiping;Yang, Ming;Yang, Qiaoqiao;Meng, Huixing",57283271200;36725261600;57196416832;55659850100;56293326500;58069619100;57131987100,60016835;60082196;60005248;60106017;60117886;60016835;60016835,2023-10-01,October 2023,Reliability Engineering and System Safety,09518320,13853,,Journal,238,,109445,,"The interactions of external disruptions and technical-human-organizational factors in emergency operations are usually observed. Resilience assessment of emergency systems can improve emergency response capability and system functional recovery. The increasing complexity and coupling of factors in emergency response systems need to be investigated from a system resilience perspective. In this paper, we propose to integrate a multi-stage System-Theoretic Accident Model and Processes (STAMP) with a dynamic Bayesian network (DBN) for the resilience assessment of emergency response systems. In the proposed methodology, emergency response systems are viewed as multi-step emergency operations for STAMP to analyze the hierarchical control and feedback structures. The output of multi-stage STAMP in controllers, actuators, sensors, and controlled processes is applied to develop a DBN for resilience assessment. For known external shocks (e.g., natural disasters), the effects of external shocks on the system are decomposed into subsystems or components. System degradation and recovery models are established. Regarding unknown external disruption (e.g., unforeseen failure modes), degeneration and recovery are temporally integrated into the analysis of system functionality. System performance is evaluated through the combination of socio-technical factors and external disasters. Eventually, the resilience of emergency response systems is obtained from the performance curves. The results demonstrate that the proposed model can evaluate system resilience after the system suffers from external disasters.",Dynamic Bayesian network | Emergency operations | Multi-stage STAMP | Resilience assessment,4,0,,,NSFC,KJGG-2022-17-05,National Natural Science Foundation of China,Already existed in HAL!,Already existed in the stamped team!
7,2-s2.0-85159721070,10.1109/TNSM.2023.3269673,,,Estimating 5G Network Service Resilience Against Short Timescale Traffic Variation,ar,Article,Li R.,60106066;130373353,Laboratoire Génie Industriel;Networks/CASE/A4N,Chatenay-Malabry;Chatillon,France;France,5,"Li, Rui;Decocq, Bertrand;Barros, Anne;Fang, Yi Ping;Zeng, Zhiguo",57670573100;6507823773;7102745133;55659850100;55348807500,130373353-60106066;130373353;60106066;60106066;60106066,2023-09-01,1 September 2023,IEEE Transactions on Network and Service Management,,7200153156,19324537,Journal,20,3,,2230-2243,"5G networks are designed to create a new ecosystem for vertical industries such as health care, energy, and public transport. These novel applications, on the other hand, bring new challenges to network resilience. Among them, traffic variation is one of the most vital threats to the 5G network. With tens of thousands of devices connected to the network, network service resilience is threatened by the heavy traffic change induced by the end users or malicious attacks. While long timescale traffic variation can be easily predicted based on historical data, short timescale abnormal traffic is hard to forecast yet can significantly violate the service requirements. The impact of short timescale traffic variation can be mitigated by 5G management and control systems. However, the complexity and dynamics of the virtualized 5G system make it hard to estimate its resilience. This paper provides a 5G network model that captures the data traffic changes and network dynamic management mechanism. The model is able to evaluate the performance of different network services with different requirements under traffic variation events. We analyze the effectiveness of auto-scaling and compare different isolation strategies for traffic congestion. The simulation results on service resilience estimation can become strong supporting information for 5G network deployment and configuration.",5G | auto-scaling | communication networks | discrete event simulation | Kubernetes | network resilience | network service | Petri Net | traffic variation | virtual networks,1,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
8,2-s2.0-85159205217,10.1016/j.ress.2023.109364,S0951832023002788,,A resilience-based framework for the optimal coupling of interdependent critical infrastructures,ar,Article,Bellè A.,60107882;60106017,Thales Research and Technology;Université Paris-Saclay,Palaiseau;Gif-sur-Yvette,France;France,5,"Bellè, Andrea;Abdin, Adam F.;Fang, Yi Ping;Zeng, Zhiguo;Barros, Anne",57286978200;57224782100;55659850100;55348807500;7102745133,60107882-60106017;60106017;60106017;60106017;60106017,2023-09-01,September 2023,Reliability Engineering and System Safety,09518320,13853,,Journal,237,,109364,,"As critical infrastructures (CIs) are essential for the safety and socio-economic stability of a society, ensuring their resilience is a task of the utmost importance. Critical infrastructures are often interdependent on each other, and the topology of the interdependencies between different systems, also referred to as coupling interface, plays a key role in terms of their resilience against failures. In case of failures due to natural events, random disturbances, or deliberate attacks, the design of the coupling interface is a key factor for maintaining high performance within the interdependent CIs. However, in the existing literature, the issue of the coupling interface design is often addressed through heuristics. In this work, we propose an optimization-based mathematical approach for designing coupling interfaces between interdependent critical infrastructures under random failures. The proposed approach allows designing a coupling interface that is robust against the worst realization of a set of feasible failure scenarios. Using as case study interdependent power and gas networks, we show that the proposed method outperforms existing solutions based on network metrics-based heuristics.",Coupling interface | Defender–attacker–defender | Interdependent critical infrastructures | Optimization | Resilience,0,1,repositoryam,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
9,2-s2.0-85147705423,10.1016/j.ejor.2023.01.060,S0377221723001091,,A data-driven distributionally robust approach for the optimal coupling of interdependent critical infrastructures under random failures,ar,Article,Bellè A.,60107882;60106017,Thales Research and Technology;Université Paris-Saclay,Palaiseau;Gif-sur-Yvette,France;France,5,"Bellè, Andrea;Abdin, Adam F.;Fang, Yi Ping;Zeng, Zhiguo;Barros, Anne",57286978200;57224782100;55659850100;55348807500;7102745133,60107882-60106017;60106017;60106017;60106017;60106017,2023-09-01,1 September 2023,European Journal of Operational Research,03772217,22489,,Journal,309,2,,872-889,"Critical infrastructures (CIs), such as energy systems, transportation networks and telecommunications networks, are the backbone of any advanced society, and ensuring their resilience is a fundamental task. CIs are often interconnected to, and interdependent on, each other through complex coupling interfaces. Failures can propagate among different CIs through these coupling interfaces, causing multi-sectoral disruption. The design of the coupling interface can strongly impact the cascading effect between different CIs. In this paper, we propose a data-driven distributionally robust approach for the optimal coupling of interdependent CIs. Our model obtains an optimal coupling interface that maximizes the expected combined performance of interdependent CIs under random failure scenarios with ambiguous probability distributions. We demonstrate the validity of the proposed approach using an ambiguity set built upon a synthetic data set of historical contingency scenarios. Interdependent power and gas networks (IPGNs) are used as an illustrative case study. We show that our proposed approach leads to better coupling interfaces with higher expected performance under disruptive scenarios.",Coupling interface | Distributionally robust optimization | Interdependent critical infrastructures | Random failures | Risk analysis,2,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
